area code,2022/1/2,2022/1/9,2022/1/16,2022/1/23,2022/1/30,2022/2/6,2022/2/13,2022/2/20,2022/2/27,2022/3/6,2022/3/13,2022/3/20,2022/3/27,2022/4/3,2022/4/10,2022/4/17,2022/4/24,2022/5/1
E02000152,188,134,68,99,85,61,45,35,21,33,35,57,53,30,23,17,12,14
E02000153,198,134,72,92,67,65,40,53,29,66,85,87,62,48,22,23,16,6
E02000154,207,107,91,98,106,73,48,40,18,47,68,58,62,58,30,28,19,7
E02000155,162,109,67,71,77,51,29,31,25,23,42,54,57,32,25,21,13,6
E02000156,246,197,109,123,94,76,65,42,39,61,102,106,102,57,47,32,17,5
E02000157,131,121,107,96,106,82,62,48,29,54,85,84,66,56,20,30,17,4
E02000158,168,107,83,60,63,64,34,36,16,28,60,65,59,53,37,15,8,9
E02000159,138,99,70,47,65,46,37,28,16,32,47,55,37,23,19,26,9,5
E02000160,223,112,78,79,82,62,51,44,32,43,72,74,57,47,29,22,21,10
E02000161,162,132,104,119,138,80,61,50,42,43,63,86,58,29,35,26,20,7
E02000162,160,116,73,61,47,63,35,35,32,38,38,68,52,43,28,16,10,14
E02000163,155,115,63,91,112,81,49,47,19,40,53,66,90,41,39,29,11,5
E02000165,204,124,52,61,48,49,27,24,15,34,53,52,61,46,20,16,8,7
E02000166,127,91,76,68,78,60,48,36,37,31,55,80,78,51,22,18,10,7
E02000167,115,91,71,93,79,71,48,39,30,37,42,66,62,46,42,18,12,11
E02000168,119,115,63,69,101,64,53,34,50,49,70,70,72,51,38,17,9,4
E02000169,91,136,109,76,115,85,48,33,19,37,47,67,67,51,22,18,18,9
E02000170,168,132,90,86,81,76,57,39,40,33,78,87,81,72,41,21,12,12
E02000171,96,99,82,78,80,64,42,39,29,38,46,67,82,59,28,23,25,6
E02000172,169,169,102,102,114,81,64,60,30,32,52,61,77,53,36,17,20,13
E02000173,129,110,93,89,91,73,62,38,23,46,77,72,72,64,49,29,13,10
E02000174,150,144,97,89,96,88,63,32,36,35,57,79,73,51,27,20,14,13
E02000175,132,157,89,78,108,77,68,51,44,54,68,84,91,62,40,16,21,21
E02000176,90,97,83,77,77,50,46,28,39,26,55,97,58,42,17,18,11,7
E02000177,187,131,92,96,82,86,47,44,26,32,50,54,60,50,21,29,21,8
E02000178,169,147,95,71,68,66,57,41,32,35,60,60,61,49,41,20,9,10
E02000179,104,118,68,53,47,44,32,34,23,28,48,57,48,37,19,16,9,13
E02000180,144,143,72,67,75,58,47,40,36,42,53,75,70,38,25,11,17,9
E02000181,124,125,80,92,98,64,65,41,43,41,75,86,97,76,43,16,18,10
E02000182,115,120,73,81,77,72,43,26,25,42,48,74,40,60,29,21,15,9
E02000183,118,102,82,78,72,60,38,33,24,34,69,57,45,44,23,36,17,11
E02000184,166,125,69,72,65,71,54,55,40,39,50,70,73,54,27,24,13,16
E02000185,161,167,84,81,79,55,42,34,24,22,43,41,41,41,28,9,15,5
E02000186,104,107,56,52,61,46,51,32,35,28,36,53,60,42,30,17,20,3
E02000187,190,174,91,73,95,104,50,35,16,23,50,67,80,63,45,20,18,10
E02000188,146,109,86,65,91,59,39,33,23,25,43,33,43,30,18,19,7,4
E02000189,122,116,65,64,56,59,37,31,33,26,37,45,68,49,14,11,10,7
E02000190,121,95,53,58,61,63,63,37,31,46,45,66,53,43,15,16,28,7
E02000191,127,125,71,83,110,95,68,53,31,32,41,54,75,60,26,14,14,11
E02000192,117,96,54,68,63,50,44,45,35,41,51,54,60,47,22,18,10,7
E02000193,130,121,77,81,82,54,44,53,41,38,51,69,86,58,33,26,32,14
E02000194,219,134,91,81,84,66,57,54,38,44,72,94,79,59,34,20,20,11
E02000195,202,132,113,75,64,63,40,40,23,48,52,60,70,41,28,16,16,11
E02000196,164,143,72,59,45,44,46,39,22,28,39,37,30,29,30,22,6,6
E02000197,201,137,99,65,45,41,39,32,17,31,53,54,50,37,38,19,24,5
E02000198,199,163,65,46,57,43,31,28,19,25,25,47,34,34,22,11,16,6
E02000199,192,157,55,67,46,46,27,32,20,22,50,63,72,30,24,16,7,10
E02000200,170,125,73,76,76,74,35,47,24,34,56,42,55,39,35,21,13,6
E02000201,184,150,71,37,51,46,52,28,17,16,31,51,40,36,20,16,14,8
E02000202,205,119,77,65,42,47,37,22,14,25,24,39,42,40,27,13,13,11
E02000203,193,118,44,58,47,34,29,19,18,20,19,38,37,17,17,7,12,5
E02000204,158,180,78,45,62,68,42,20,17,16,41,38,37,45,24,15,11,5
E02000206,226,186,107,64,63,57,58,38,28,33,36,43,46,47,24,13,10,10
E02000207,206,153,78,65,69,50,52,29,22,31,32,43,42,39,22,14,14,5
E02000208,299,198,97,108,69,58,40,24,16,28,44,39,38,44,25,16,13,8
E02000209,244,183,72,55,60,34,29,34,18,21,36,35,34,32,14,5,9,3
E02000210,222,139,68,75,70,68,45,26,21,25,48,59,52,45,19,12,13,7
E02000211,174,142,53,61,68,44,45,39,21,29,36,59,52,34,22,16,20,11
E02000212,226,158,114,72,46,47,50,39,20,18,32,27,36,35,25,11,18,4
E02000213,271,227,82,81,89,77,41,43,26,32,46,66,48,43,32,21,14,7
E02000214,145,100,46,66,49,47,17,30,19,32,28,44,45,36,22,13,12,4
E02000215,249,212,99,101,107,72,58,45,27,33,46,65,66,46,31,18,10,19
E02000216,154,98,83,78,60,43,36,45,28,40,36,39,46,37,22,14,9,5
E02000217,267,171,116,103,91,79,61,43,32,55,69,81,65,58,38,20,21,9
E02000218,133,107,52,51,42,38,20,19,11,26,34,38,41,31,22,13,5,7
E02000219,157,117,55,57,56,39,33,31,28,31,57,65,53,43,29,25,16,6
E02000220,289,276,140,118,107,90,81,82,54,55,61,109,99,94,55,25,16,13
